customer_id,name,email,city,signup_date
1,Amit,amit@gmail.com,Mumbai,2025-01-01
2,Riya,riya@gmail.com,Delhi,2025-01-05
3,John,john@gmail.com,Pune,2025-01-10
4,Sara,sara@gmail.com,Bangalore,2025-01-12
5,Raj,raj@gmail.com,Mumbai,2025-01-15
6,Neha,neha@gmail.com,Delhi,2025-01-18
7,Arjun,arjun@gmail.com,Pune,2025-01-20
8,Priya,priya@gmail.com,Mumbai,2025-01-22
9,Karan,karan@gmail.com,Bangalore,2025-01-25
10,Meena,meena@gmail.com,Delhi,2025-01-28
11,Vikas,vikas@gmail.com,Mumbai,2025-02-01
12,Anita,anita@gmail.com,Pune,2025-02-03
13,Rohit,rohit@gmail.com,Delhi,2025-02-05
14,Simran,simran@gmail.com,Mumbai,2025-02-07
15,Ayesha,ayesha@gmail.com,Bangalore,2025-02-10
16,Manoj,manoj@gmail.com,Delhi,2025-02-12
17,Pooja,pooja@gmail.com,Pune,2025-02-14
18,Nikhil,nikhil@gmail.com,Mumbai,2025-02-16
19,Sneha,sneha@gmail.com,Bangalore,2025-02-18
20,Rahul,rahul@gmail.com,Delhi,2025-02-20
